comment_text,label
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
Who let this guy on the internet?,0
Literally the most pointless video I’ve ever seen.,0
This editing is straight-up nightmare fuel.,0
You clearly have no idea what you're talking about.,0
Delete this and pretend it never happened.,0
Is this supposed to be funny? It’s just sad.,0
This video gave me secondhand embarrassment.,0
Do you even research before making these videos?,0
Another classic example of clout-chasing gone wrong.,0
"If mediocrity was a person, it would be you.",0
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
